X,Y,Z,Label
0.0,0.0,499.803,CL
0.2,-0.038,499.801,CL
0.4,-0.077,499.803,CL
0.6,-0.115,499.805,CL
0.8,-0.153,499.808,CL
1.0,-0.191,499.81,CL
1.2,-0.23,499.813,CL
1.4,-0.268,499.815,CL
1.6,-0.306,499.818,CL
1.8,-0.345,499.821,CL
2.0,-0.383,499.824,CL
2.2,-0.421,499.826,CL
2.4,-0.459,499.829,CL
2.6,-0.498,499.832,CL
2.8,-0.536,499.835,CL
3.0,-0.574,499.838,CL
3.2,-0.612,499.841,CL
3.4,-0.65,499.845,CL
3.6,-0.688,499.848,CL
3.8,-0.727,499.851,CL
4.0,-0.765,499.854,CL
4.2,-0.803,499.857,CL
4.4,-0.841,499.861,CL
4.6,-0.879,499.864,CL
4.8,-0.917,499.867,CL
5.0,-0.955,499.871,CL
5.2,-0.993,499.874,CL
5.4,-1.031,499.877,CL
5.6,-1.069,499.881,CL
5.8,-1.107,499.884,CL
6.0,-1.145,499.887,CL
6.2,-1.182,499.891,CL
6.4,-1.22,499.894,CL
6.6,-1.258,499.897,CL
6.8,-1.296,499.901,CL
7.0,-1.333,499.904,CL
7.2,-1.371,499.907,CL
7.4,-1.409,499.911,CL
7.6,-1.446,499.914,CL
7.8,-1.484,499.917,CL
8.0,-1.521,499.921,CL
8.2,-1.559,499.924,CL
8.4,-1.596,499.927,CL
8.6,-1.634,499.93,CL
8.8,-1.671,499.933,CL
9.0,-1.708,499.936,CL
9.2,-1.746,499.94,CL
9.4,-1.783,499.943,CL
9.6,-1.82,499.946,CL
9.8,-1.857,499.948,CL
10.0,-1.894,499.951,CL
10.2,-1.931,499.954,CL
10.4,-1.968,499.957,CL
10.6,-2.005,499.96,CL
10.8,-2.042,499.963,CL
11.0,-2.079,499.965,CL
11.2,-2.116,499.968,CL
11.4,-2.152,499.97,CL
11.6,-2.189,499.973,CL
11.8,-2.226,499.975,CL
12.0,-2.262,499.978,CL
12.2,-2.299,499.98,CL
12.4,-2.335,499.982,CL
12.6,-2.371,499.984,CL
12.8,-2.408,499.986,CL
13.0,-2.444,499.988,CL
13.2,-2.48,499.99,CL
13.4,-2.516,499.992,CL
13.6,-2.552,499.994,CL
13.8,-2.588,499.995,CL
14.0,-2.624,499.997,CL
14.2,-2.66,499.998,CL
14.4,-2.696,500.0,CL
14.6,-2.731,500.001,CL
14.8,-2.767,500.002,CL
15.0,-2.803,500.003,CL
15.2,-2.838,500.004,CL
15.4,-2.873,500.005,CL
15.6,-2.909,500.006,CL
15.8,-2.944,500.007,CL
16.0,-2.979,500.008,CL
16.2,-3.014,500.008,CL
16.4,-3.049,500.009,CL
16.6,-3.084,500.009,CL
16.8,-3.119,500.009,CL
17.0,-3.154,500.009,CL
17.2,-3.188,500.009,CL
17.4,-3.223,500.009,CL
17.6,-3.258,500.009,CL
17.8,-3.292,500.009,CL
18.0,-3.326,500.008,CL
18.2,-3.361,500.008,CL
18.4,-3.395,500.007,CL
18.6,-3.429,500.007,CL
18.8,-3.463,500.006,CL
19.0,-3.497,500.005,CL
19.2,-3.53,500.004,CL
19.4,-3.564,500.002,CL
19.6,-3.598,500.001,CL
19.8,-3.631,500.0,CL
20.0,-3.665,499.998,CL
20.2,-3.698,499.997,CL
20.4,-3.731,499.995,CL
20.6,-3.764,499.993,CL
20.8,-3.797,499.991,CL
21.0,-3.83,499.989,CL
21.2,-3.863,499.987,CL
21.4,-3.896,499.984,CL
21.6,-3.929,499.982,CL
21.8,-3.961,499.979,CL
22.0,-3.994,499.977,CL
